CED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
CED101,2037,742,4515,24674,33212,16516,12278,41062,7359,135106
CED102,2052,882,4459,27343,36537,16274,11872,51832,10284,154148
CED103,2024,566,4449,30760,43059,20304,13620,43485,7352,158584
CED104,1772,694,4070,25305,36972,19779,13068,24470,4222,123813
CED105,1829,723,3523,21497,25349,12329,13001,63021,14804,150001
CED106,2448,587,5448,28284,40504,20863,13201,29408,4551,136812
CED107,2124,464,4049,24910,36698,17542,12962,32259,11929,136304
CED108,1516,354,2464,23504,32054,15505,14738,57611,11950,155365
CED109,2224,777,5094,25914,34914,16189,10853,29827,6116,123810
CED110,2809,1021,6018,25396,38249,19351,13561,34136,11374,142073
CED111,2055,749,4479,27244,38504,17847,12131,31511,7006,134240
CED112,2266,1067,4801,24279,34542,17043,13401,33898,8576,131734
CED113,1624,479,3452,26375,39924,18596,12429,26188,9441,132953
CED114,2317,703,4701,26248,36025,17067,12656,36539,12486,141007
CED115,1921,781,3531,20762,24414,11503,11761,62403,11631,142478
CED116,2617,669,5405,23816,38463,20096,14426,31041,10222,138060
CED117,1314,403,2659,29192,44344,16012,7479,24562,6766,128354
CED118,1086,203,1995,27354,39119,19522,15401,45513,9457,156361
CED119,1269,814,3181,24756,35853,17549,11547,25568,4818,120095
CED120,1508,497,3108,26292,37647,18755,14693,30523,8200,136113
CED121,2368,564,4383,25315,37741,18791,14318,35339,9787,141295
CED122,1660,639,3791,33674,42438,16077,9524,42198,10624,154528
CED123,1114,533,2446,27179,37980,17139,14112,40365,10937,147710
CED124,2680,804,5529,21623,35469,19762,15194,31287,9236,132575
CED125,847,285,1764,27458,38164,17777,15926,48818,9476,157621
CED126,2234,664,4854,27810,39090,18229,10828,25721,5447,127120
CED127,1446,342,2981,22435,36147,18662,13422,22893,5291,118852
CED128,1618,478,3016,20952,26805,13057,12590,56219,10347,139961
CED129,1426,379,2888,29853,42385,21190,14890,34400,4807,147523
CED130,1935,693,4170,22700,33666,16625,12492,31534,12074,129088
CED131,2013,811,4195,30883,41733,16657,9648,32201,7889,139005
CED132,1672,673,3978,31866,45650,18114,10061,27413,6403,139516
CED133,2236,680,4765,24298,37961,19503,14375,31618,12211,139966
CED134,1891,673,3784,20914,29644,13728,11109,32387,15841,123625
CED135,1374,351,2750,25801,36889,17684,13961,57808,12682,164828
CED136,1669,537,3585,26109,38919,18437,13752,36552,7668,141438
CED137,1940,614,4033,32248,43493,18357,12545,54922,11082,172643
CED138,2918,929,5793,26913,39432,18885,12248,31071,11525,140075
CED139,2297,560,4472,24380,33835,16094,12203,32909,10693,130124
CED140,2079,990,4904,24073,36218,17769,12347,28112,7448,125967
CED141,1997,573,4300,23917,35304,17507,11648,30211,6170,124765
CED142,795,277,1726,43710,55734,14820,7094,52484,14621,188461
CED143,1501,441,3588,29763,40630,16370,9298,22899,4858,123828
CED144,2197,538,4030,23553,29611,14145,13134,56080,11873,148398
CED145,1349,1134,3903,31677,38604,13179,7242,25264,8280,124257
CED146,1133,614,2331,24625,30381,14901,14838,59017,10450,154210
CED147,2010,799,4497,25078,36899,18664,14154,35039,7387,137237
CED194,23,19,49,1561,1512,614,402,2643,3376,10112
CED197,0,0,0,0,0,0,0,0,0,0
CED201,1859,428,3540,28159,37006,16240,11053,34364,5168,131987
CED202,1665,592,3545,24227,35627,16656,11972,27927,7793,124204
CED203,1848,727,4060,23877,35543,17199,12366,27119,9011,125110
CED204,1834,342,3212,26865,32805,14478,11917,49981,9573,145620
CED205,918,172,1482,22060,27102,11945,12134,60638,9913,143794
